-7,89728951329743E-0002
 4,14713918708070E-0001
 7,28252956744307E-0001
 6,11810616066971E-0001
 8,46820954301655E-0001
 4,26698596727582E-0002
 1,10311273285426E+0000
-8,48469694541393E-0003
-7,40610763767128E-0003
-6,32955057048473E-0002
 1,27118227791901E+0000
 1,38379167593959E+0000
-5,91428720868108E-0002
-9,68794209329034E-0001
-3,27531291609340E-0001
-1,53737268977361E+0000
-8,94466362693809E-0001
-4,25270174049822E-0002
-8,93821142891867E-0002
 4,62329972698419E-0001
-9,14640887817063E-0001
 5,96494620431730E-0001
-8,96471932827086E-0001
-3,06370171735321E+0000
-1,39285838390075E-0001
 4,13982668277568E-0001
-1,21332675349331E+0000
-1,27269197928568E+0000
 4,12950315973236E-0001
 9,24922491860534E-0002
 2,36395203420336E+0000
 1,59973500070206E+0000
 6,69550124383545E-0001
-3,01317567686476E-0001
 3,55520859985194E-0002
-9,73747359496837E-0001
 7,82551635423164E-0001
-1,07105228374371E+0000
 1,60367135769437E-0001
-3,03649510298110E-0001
-7,69683060086674E-0001
 4,00451902968714E-0001
 1,64602397975748E+0000
 1,81247361598059E+0000
 2,75019745052842E-0001
-1,13593148376808E+0000
 3,44639033929662E-0002
-7,01867802456975E-0001
-4,22707279159250E-0001
 3,00944160331106E-0001
 1,93886488023977E-0001
 4,31141134746958E-0002
-9,99239858471560E-0001
-1,61609395624761E-0001
-9,74468283734734E-0001
-2,14140016201094E+0000
 4,77867265397403E-0001
 2,73074238020356E-0001
-1,63951243076655E-0001
-2,12133501489686E+0000
-5,28817763781143E-0001
 1,01276430813915E+0000
-1,75985067858010E+0000
-9,65266713991113E-0001
-4,68898664912694E-0001
 2,08760859262896E+0000
-7,15901369803345E-0001
 8,36566340532966E-0001
-2,17214720359480E-0003
 1,69060966795084E+0000
-7,77820251470063E-0001
 1,68638805405256E+0000
 2,14677274040748E+0000
 2,77819136034889E-0001
 7,49672615982438E-0001
 5,71128276299241E-0001
 2,85784940562290E-0001
 8,74606287447277E-0001
-1,26150379779076E+0000
 1,22083126543903E+0000
 2,10107807349310E+0000
 5,48436902078668E-0001
 8,63505565601349E-0001
 4,06231156661864E-0001
 1,59865398858211E+0000
 1,02876553741887E+0000
 1,41714228792679E+0000
 4,80366972940674E-0001
 3,81940709172406E-0001
-5,99437080889261E-0001
 4,79999729301776E-0001
-1,15370130591281E+0000
-4,57646773697649E-0001
 1,57598740513883E+0000
 4,26790554222084E-0001
 4,86093177925410E-0001
-1,12868784262597E+0000
 6,80926418053459E-0001
-9,96187650103484E-0002
-2,11171080234189E-0001
 1,19086561094913E+0000
 5,65042188587409E-0001
 9,09289148399936E-0001
-1,66079410485960E-0001
-1,96051658968447E+0000
 4,31464204665261E-0001
 1,22120181673918E+0000
 9,54099060382202E-0001
-1,29630833091576E+0000
-1,36322052731947E+0000
-6,37026194356042E-0001
-2,88280905594511E-0002
 1,80970023866266E-0001
 5,77761743752221E-0001
-1,64134084227797E-0001
-3,73646584812362E-0002
-1,47416123834955E+0000
-5,11922340330040E-0001
-1,37257732871721E-0001
-4,40371737075165E-0001
 7,83543977529422E-0001
-6,49017351351932E-0001
-1,52598992913023E-0001
-2,24400797806522E-0001
 1,71408515743961E-0001
-1,75772798543076E+0000
-9,56110162156846E-0001
 3,25023432113593E-0001
-5,27605687654831E-0001
-4,03490367886851E-0001
-7,17460327591000E-0001
-7,34992109826553E-0002
